"Horodateur","Who do you think will win the US elections ? ","How confident are you on this forecast ? ","Who do you think will win the Ballon d'Or (Football)","How confident are you on this forecast ? ","Do you think it is going to rain on Halloween night ?","How confident are you on this forecast ? "
"2024/10/27 6:26:28 PM UTC+1","Donald Trump","3","Vinicius Jr (Real Madrid)","4","No","1"
"2024/10/27 6:27:02 PM UTC+1","Donald Trump","3","Vinicius Jr (Real Madrid)","5","No","7"
"2024/10/27 6:27:05 PM UTC+1","Donald Trump","3","Vinicius Jr (Real Madrid)","7","I don't know","7"
"2024/10/27 6:28:22 PM UTC+1","Kamala Harris","5","I don't know","1","Yes","3"
"2024/10/27 6:29:53 PM UTC+1","Kamala Harris","3","I don't know","7","Yes","4"
"2024/10/27 6:32:25 PM UTC+1","Kamala Harris","5","I don't know","5","Yes","6"
"2024/10/27 6:33:35 PM UTC+1","Kamala Harris","4","I don't know","1","No","5"
"2024/10/27 6:37:08 PM UTC+1","Donald Trump","5","I don't know","1","Yes","2"
"2024/10/27 6:38:36 PM UTC+1","Kamala Harris","3","Vinicius Jr (Real Madrid)","7","Yes","6"
"2024/10/27 6:44:14 PM UTC+1","I don't know","7","I don't know","7","No","3"
"2024/10/27 7:02:19 PM UTC+1","Donald Trump","2","Vinicius Jr (Real Madrid)","6","No","2"
"2024/10/27 7:07:26 PM UTC+1","Donald Trump","3","I don't know","4","No","5"
"2024/10/27 7:26:49 PM UTC+1","Donald Trump","6","Vinicius Jr (Real Madrid)","5","No","5"
"2024/10/27 7:46:57 PM UTC+1","I don't know","2","I don't know","2","No","4"
"2024/10/27 8:10:08 PM UTC+1","Kamala Harris","5","Rodri (Manchester City)","3","No","4"
"2024/10/27 9:19:55 PM UTC+1","Donald Trump","1","Vinicius Jr (Real Madrid)","3","I don't know","1"
"2024/10/27 10:31:08 PM UTC+1","Kamala Harris","4","Vinicius Jr (Real Madrid)","7","No","4"
"2024/10/28 9:49:07 AM UTC+1","Donald Trump","6","Vinicius Jr (Real Madrid)","4","No","4"
"2024/10/28 12:58:59 PM UTC+1","Kamala Harris","5","Vinicius Jr (Real Madrid)","2","No","3"
"2024/10/28 12:59:02 PM UTC+1","I don't know","7","Rodri (Manchester City)","3","Yes","4"
"2024/10/28 1:43:06 PM UTC+1","Donald Trump","5","Vinicius Jr (Real Madrid)","7","No","2"
"2024/10/28 4:14:18 PM UTC+1","Kamala Harris","5","I don't know","1","Yes","4"
"2024/10/28 4:50:20 PM UTC+1","Donald Trump","5","I don't know","1","I don't know","1"
"2024/10/28 4:53:57 PM UTC+1","Kamala Harris","4","Vinicius Jr (Real Madrid)","4","Yes","5"
"2024/10/28 4:54:10 PM UTC+1","Kamala Harris","2","Rodri (Manchester City)","5","I don't know","4"
"2024/10/28 4:54:15 PM UTC+1","Kamala Harris","4","Vinicius Jr (Real Madrid)","1","Yes","7"
"2024/10/28 4:54:26 PM UTC+1","Kamala Harris","4","Rodri (Manchester City)","5","I don't know","7"
"2024/10/28 4:54:31 PM UTC+1","Kamala Harris","2","Vinicius Jr (Real Madrid)","1","I don't know","7"
"2024/10/28 4:56:16 PM UTC+1","Kamala Harris","1","Vinicius Jr (Real Madrid)","6","No","7"
"2024/10/28 4:57:51 PM UTC+1","Donald Trump","4","Vinicius Jr (Real Madrid)","7","I don't know","4"
"2024/10/28 5:56:48 PM UTC+1","Kamala Harris","5","Vinicius Jr (Real Madrid)","5","Yes","6"
"2024/10/28 6:13:11 PM UTC+1","Kamala Harris","5","Rodri (Manchester City)","2","Yes","6"
"2024/10/28 10:15:57 PM UTC+1","Kamala Harris","4","I don't know","7","No","4"
"2024/10/29 12:21:59 AM UTC+1","Kamala Harris","4","I don't know","7","No","6"
