"Horodateur","Who did you think would win the US elections ? (Trump won)","How confident were you in this forecast ? ","Who did you think would win the Ballon d'Or ? (Rodri won)","How confident were you in this forecast ? ","Did you think it was going to rain on Halloween night ? (It didn't rain)","How confident were you in this forecast ? "
"2024/11/12 12:06:05 PM UTC+1","Donald Trump","7","Vinicius Jr (Real Madrid)","6","No","5"
"2024/11/12 12:06:46 PM UTC+1","Donald Trump","5","I don't know","3","Yes","5"
"2024/11/12 12:09:54 PM UTC+1","Kamala Harris","4","Vinicius Jr (Real Madrid)","3","No","6"
"2024/11/12 12:11:40 PM UTC+1","Kamala Harris","1","Vinicius Jr (Real Madrid)","6","No","7"
"2024/11/12 12:21:08 PM UTC+1","Donald Trump","5","Vinicius Jr (Real Madrid)","6","I don't know","3"
"2024/11/12 12:29:05 PM UTC+1","Kamala Harris","6","Vinicius Jr (Real Madrid)","5","Yes","7"
"2024/11/12 12:48:56 PM UTC+1","Kamala Harris","6","I don't know","1","No","5"
"2024/11/12 1:01:39 PM UTC+1","Kamala Harris","4","I don't know","7","No","7"
"2024/11/12 1:17:32 PM UTC+1","Donald Trump","5","Vinicius Jr (Real Madrid)","3","I don't know","5"
"2024/11/12 1:17:36 PM UTC+1","Donald Trump","7","Rodri (Manchester City)","5","No","6"
"2024/11/12 2:17:00 PM UTC+1","Kamala Harris","3","Vinicius Jr (Real Madrid)","3","I don't know","2"
"2024/11/12 2:32:33 PM UTC+1","Kamala Harris","2","Rodri (Manchester City)","6","No","6"
"2024/11/12 5:40:12 PM UTC+1","Kamala Harris","3","Vinicius Jr (Real Madrid)","3","I don't know","4"
"2024/11/12 7:29:21 PM UTC+1","Kamala Harris","4","I don't know","7","I don't know","7"
"2024/11/12 8:02:41 PM UTC+1","Donald Trump","6","I don't know","4","I don't know","4"
"2024/11/13 6:17:00 PM UTC+1","Kamala Harris","5","Vinicius Jr (Real Madrid)","5","I don't know","7"
"2024/11/13 6:30:44 PM UTC+1","Donald Trump","5","I don't know","3","No","5"
"2024/11/13 8:54:48 PM UTC+1","I don't know","7","I don't know","7","I don't know","7"
"2024/11/15 9:48:28 AM UTC+1","Donald Trump","6","Vinicius Jr (Real Madrid)","6","I don't know","4"
"2024/11/15 10:49:31 AM UTC+1","Donald Trump","1","Vinicius Jr (Real Madrid)","3","I don't know","1"
"2024/11/15 11:28:05 AM UTC+1","Kamala Harris","5","I don't know","4","No","4"
"2024/11/15 2:19:55 PM UTC+1","Donald Trump","3","I don't know","7","I don't know","7"
"2024/11/15 2:23:48 PM UTC+1","Kamala Harris","3","I don't know","4","I don't know","4"
"2024/11/15 2:24:15 PM UTC+1","Donald Trump","4","Vinicius Jr (Real Madrid)","6","No","3"
"2024/11/15 2:25:22 PM UTC+1","Kamala Harris","4","I don't know","7","I don't know","3"
"2024/11/15 2:29:12 PM UTC+1","Kamala Harris","7","I don't know","1","I don't know","1"
"2024/11/15 2:29:32 PM UTC+1","Donald Trump","3","Vinicius Jr (Real Madrid)","7","No","4"
"2024/11/15 2:35:02 PM UTC+1","Donald Trump","7","I don't know","1","No","5"
"2024/11/15 2:49:19 PM UTC+1","Kamala Harris","3","I don't know","4","No","5"
"2024/11/15 6:41:44 PM UTC+1","Donald Trump","3","I don't know","1","Yes","3"
"2024/11/15 9:43:56 PM UTC+1","Kamala Harris","6","Vinicius Jr (Real Madrid)","5","Yes","6"
"2024/11/16 3:09:35 PM UTC+1","Donald Trump","5","Rodri (Manchester City)","4","No","3"
"2024/11/16 3:10:06 PM UTC+1","Donald Trump","6","Vinicius Jr (Real Madrid)","2","Yes","2"
"2024/11/16 3:10:29 PM UTC+1","Donald Trump","6","Rodri (Manchester City)","6","No","5"
